,0
Nd+Cs3SINGLE,1.4693628333362616
Cs3Nd+SINGLE,1.4693628333362616
Cs3Cs3SINGLE,1.5301000477195195
Cs3Cs2SINGLE,1.5210477085737213
Cs3CarSINGLE,1.5087242554588447
CarCs3SINGLE,1.5087242554588445
CarCarDOUBLE,1.398684951130678
CarCarSINGLE,1.406467250051107
CarNd0SINGLE,1.3738613493381209
Nd0CarSINGLE,1.3738613493381209
Nd0Cs2SINGLE,1.3641263849797938
Cs2Nd0SINGLE,1.36412944901014
Cs2Cs3SINGLE,1.5210477085737213
Cs2.=ODOUBLE,1.235059351940351
Cs3HalSINGLE,1.778458797392397
HalCs3SINGLE,1.778458797392397
.=OCs2DOUBLE,1.2350589868515498
Cs2.=OSINGLE,1.2618456483187401
.=OCs2SINGLE,1.2618456483187401
C2rC2rDOUBLE,1.3899993737673297
C2rC3rSINGLE,1.5049486645148409
C3rC2rSINGLE,1.5049486645148409
C3rC3rSINGLE,1.5268921364817738
C3rO_dSINGLE,1.4249647291635046
C3rO_aSINGLE,1.4341195792396308
C3rCarSINGLE,1.5058245336292553
O_aC3rSINGLE,1.4341195792396308
O_aCarSINGLE,1.3775031749272773
CarO_aSINGLE,1.377503174927277
C3rNd+SINGLE,1.4720024814546828
Nd+C3rSINGLE,1.4720024814546828
CarC3rSINGLE,1.5058245336292553
Cs3O_aSINGLE,1.429415082659502
O_aCs3SINGLE,1.429415082659502
O_dC3rSINGLE,1.4249619118607237
Cs3SulSINGLE,1.8039541818898484
SulCs3SINGLE,1.8039541818898484
Cs3C3rSINGLE,1.5314686215719782
C3rCs3SINGLE,1.5314686215719782
C3rNacSINGLE,1.4703377857666056
NacC3rSINGLE,1.4703377857666056
NacCarSINGLE,1.3673681502608768
CarNacSINGLE,1.3673673675789646
CarNacDOUBLE,1.3456236804920385
NacCarDOUBLE,1.3456236804920383
Nd0C3rSINGLE,1.4603996796100287
C3rNd0SINGLE,1.4604007602514584
Cs3O_dSINGLE,1.4228563732411639
O_dCs3SINGLE,1.4228563732411639
Cs2O_aSINGLE,1.3888776459191645
Cs3Nd0SINGLE,1.4611424275054243
Nd0Cs3SINGLE,1.4611424275054243
O_aCs2SINGLE,1.3888776459191643
Cs2CarSINGLE,1.484771707966925
Cs2NacSINGLE,1.3785573725250695
CarCs2SINGLE,1.4847717079669251
NacNacSINGLE,1.3546792422440495
NacCs2SINGLE,1.3785573725250695
Nd0Nd0SINGLE,1.3671807133360196
O_dCarSINGLE,1.3633906024376865
CarO_dSINGLE,1.3633906024376865
SO2Nd0SINGLE,1.6417731836162066
SO2.=ODOUBLE,1.4613572282965468
